year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_notes,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,wetmass_or_dry,salinity_ppt,salinity_factor,smolt_factor
1991,Rombough,Physiol. Zool.,0.992792793,NA,12,NA,NA,NA,NA,0.291021622,NA,-1.234357713,-1.234357713,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.886486486,NA,12,NA,NA,NA,NA,0.297340541,NA,-1.212877196,-1.212877196,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.864864865,NA,12,NA,NA,NA,NA,0.347405405,NA,-1.057262866,-1.057262866,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.695495495,NA,12,NA,NA,NA,NA,0.296913514,NA,-1.214314383,-1.214314383,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,1.064864865,NA,12,NA,NA,NA,NA,0.481805405,NA,-0.73021497,-0.73021497,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,1.063871763,NA,12,0,NA,0,NA,0.482598948,NA,-0.728569306,0.06191486,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.865598027,NA,12,0,NA,0,NA,0.347315794,NA,-1.057520845,-0.14433465,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.885573366,NA,12,0,NA,0,NA,0.297932621,NA,-1.210887924,-0.121519972,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.992848335,NA,12,0,NA,0,NA,0.291544309,NA,-1.232563283,-0.00717736,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.89001233,NA,12,0,NA,0,NA,0.246936652,NA,-1.398623444,-0.116519962,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
