year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,common,race,life stage,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,source
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.576628,,NA,7.43409,NA,NA,13.76667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,59.937602,,NA,8.0509352,NA,NA,18.9,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,67.77901,,NA,7.7118,NA,NA,14.13333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.789,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,68.246424,,NA,7.6746912,NA,NA,18.23333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.8924,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,69.56729,,NA,8.4099722,NA,NA,14.5,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,68.685811,,NA,8.3034104,NA,NA,18.2,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,46.053412,,NA,5.9385444,NA,NA,13.66667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,57.056689,,NA,7.3574067,NA,NA,18.73333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.748611,,NA,7.4575164,NA,NA,13.9,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,31.353879,,NA,4.270831,NA,NA,18.13333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,42.730211,,NA,5.5844805,NA,NA,14.16667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.6516,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,35.043593,,NA,4.5799039,NA,NA,17.76667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.6516,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,50.895364,,NA,5.5305418,NA,NA,12.46667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.2026,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,76.225285,,NA,8.2830162,NA,NA,16.23333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.2026,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,73.794891,,NA,9.268619,NA,NA,14.53333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.9618,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,45.036513,,NA,5.6565743,NA,NA,18.4,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.9618,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,58.354617,,NA,7.4257632,NA,NA,13.93333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.8584,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,31.16237,,NA,3.9654854,NA,NA,19.63333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.8584,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,57.819706,,NA,7.26214,NA,NA,14.26667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.9618,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,60.936578,,NA,7.6536183,NA,NA,19.7,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.9618,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,68.923648,,NA,8.88764,NA,NA,14.7,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,38.547847,,NA,4.9707089,NA,NA,19.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
