BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,A,1.4,4,4.9,M,M,M,0.12,0.44,0.8
0,0,A,A,A,1.4,3.8,4.6,M/G,M/G,M/G,0.46,0.83,0.91
0,0,A,A,A,1.6,3.9,5.61,M,M,M,0.43,0.91,0.77
0,0,A,A,A,1.4,4,5.3,M,M,M,0.48,0.85,1.03
0,0,A,A,A,2.8,4.7,6.9,M,M,M,0.07,0.36,0.55
0,0,A,A,S,1.2,4,6.5,M,M,M,0.28,0.52,0.77
0,0,A,A,A,1,3.8,6.2,M,M,M,0.27,0.54,0.7
0,0,A,A,M,0.9,2.9,4.3,M,M,M,0.29,0.44,0.67
0,0,A,A,S,2.8,5,6.4,M,M,M,0.4,0.64,0.74
0,0,A,A,A,1.6,3.6,5.9,M,M,M,0.23,0.7,0.46
0,0,A,A,S,2.4,4.8,5.6,M,M,M,0.66,0.79,0.92
0,0,P,A,M,2.3,6.4,7.6,M,M,M,0.2,0.64,0.74
0,0,A,A,A,2.4,5.6,7,M,M,M,0.08,0.5,0.78
0,0,A,A,A,2.1,4.1,5.6,M,M,M,0.65,0.55,0.1
0,0,A,A,S,1.7,4,4.5,M,M,M,0.3,0.86,1.16
0,0,A,A,D,2.4,5,7.6,M,M,M,0.06,0.79,1.03
0,0,A,A,A,2.1,4.4,7.1,M,M,M,0.59,0.72,1.38
0,0,A,A,S,4,6.1,8.6,M,M,M,0.6,0.91,1.74
0,0,A,A,S,3.7,6.6,6.2,M,M,M,0.15,1.49,1.64
0,0,A,A,A,3.3,6.2,6.5,M,M,M,1.04,1.58,2.05
0,1,A,A,S,4.2,7.5,9.6,M,M,M,0.68,0.98,1.55
0,0,A,A,A,4.6,7.9,12,M,M,M,0.86,1.23,1.43
0,0,A,A,A,3,6,7.3,M,M/G,M/G,0.99,1.28,1.17
0,0,A,A,S,3.4,6.3,8.7,M/G,M/G,G,0.64,1.38,1.06
0,0,A,A,M,3.6,5.4,7.9,G,M/G,M/G,0.9,0.77,0.97
0,0,A,A,S,2.6,5.1,7.5,M/G,M/G,M,0.48,0.81,1.07
0,0,A,A,A,2.6,4.7,6.4,M/G,M,M/G,0.77,0.92,1.17
0,0,A,A,S,2.5,6.4,8.1,M/G,M,M/G,0.66,0.93,1.07
0,0,A,A,S,1.9,4.5,6.3,M/G,G,M/G,0.45,0.73,0.97
0,0,A,A,S,2.7,4.4,7.1,G,M/G,M,0.07,0.62,0.83
0,0,A,A,S,1.9,4.9,5.9,M,M/G,M,0.86,1.01,1.1
0,0,A,A,M,2.9,5.2,6.3,M/G,M,M,0.52,0.49,0.82
