target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,24.97109827,NA,0.682855619,0.006828556,53.27988666,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.13900079,15.97109827,200.1611377,0.13900079,3.336018962,NA,0.5,0.13900079,7.194203713,25,NA,NA,200.1611377,rainbow trout,Wyoming/Montana/PNW,exogenous,4.6,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.02679369,NA,31.26777551,0.312677755,172.0928834,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.596213504,12.02679369,858.547446,0.596213504,14.3091241,NA,0.5,0.596213504,1.67725151,25,NA,NA,858.547446,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.04251265,NA,11.00330488,0.110033049,120.9237969,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.314071221,16.04251265,452.2625582,0.314071221,7.537709303,NA,0.5,0.314071221,3.183991188,25,NA,NA,452.2625582,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.4566474,NA,31.58357925,0.315835792,179.7978787,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.601412085,12.4566474,866.0334017,0.601412085,14.43389003,NA,0.5,0.601412085,1.662753419,25.5,NA,NA,866.0334017,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.4927439,NA,17.19235589,0.171923559,155.8270827,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.393675858,16.4927439,566.8932361,0.393675858,9.448220602,NA,0.5,0.393675858,2.540160842,25.5,NA,NA,566.8932361,rainbow trout,Wyoming/Montana/PNW,exogenous,11.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.51293868,NA,36.45876297,0.36458763,206.3050549,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.686972435,12.51293868,989.2403062,0.686972435,16.48733844,NA,0.5,0.686972435,1.455662483,25.5,NA,NA,989.2403062,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.52938375,NA,32.93717137,0.329371714,127.7641675,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.624137351,8.529383745,898.7577861,0.624137351,14.97929643,NA,0.5,0.624137351,1.602211433,25.5,NA,NA,898.7577861,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.54257219,NA,0.308330474,0.003083305,47.5970663,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.119885292,16.54257219,172.6348203,0.119885292,2.877247005,NA,0.5,0.119885292,8.341306797,25.5,NA,NA,172.6348203,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.97687861,NA,0.00029158,2.9158E-06,22.15859447,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.054384248,16.97687861,78.31331652,0.054384248,1.305221942,NA,0.5,0.054384248,18.3876774,26,NA,NA,78.31331652,rainbow trout,Wyoming/Montana/PNW,exogenous,4.6,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.97687861,NA,0.291281926,0.002912819,36.97393762,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.118717357,12.97687861,170.9529944,0.118717357,2.849216574,NA,0.5,0.118717357,8.423368101,26,NA,NA,170.9529944,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
