SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Turb,Comments
DSVeronaRL,Various,NA,3/23/15,1,GSF,109,112,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,GSF,71,73,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,RES,151,163,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,RES,59,62,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,RES,43,45,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,RES,43,45,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,WHC,81,89,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,WHC,43,46,NA,NA,N,14.38,NA
DSVeronaRL,Various,NA,3/23/15,1,SMB,325,344,NA,NA,N,14.38,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,100,106,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,128,135,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,175,186,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,129,138,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,94,101,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,75,81,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,105,115,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,78,81,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,131,142,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,96,104,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,NA,NA,NA,NA,N,13.2,plus count
DSVeronaRR,Various,NA,3/23/15,1,SASQ,NA,NA,NA,NA,N,13.2,plus count
DSVeronaRR,Various,NA,3/23/15,1,SASQ,110,119,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,112,122,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,132,142,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,120,132,NA,NA,N,13.2,NA
