SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SASQ,486,520,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SASU,430,450,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,72,77,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,75,78,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,76,80,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,78,81,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,84,89,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,108,113,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,SMB,114,122,NA,NA,N,144,7.49,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,CHN,131,149,5,LF,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,CHN,135,150,5,LF,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,MSS,52,56,NA,NA,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,MSS,76,82,NA,NA,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,MSS,80,88,NA,NA,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,MSS,80,87,NA,NA,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,SASU,380,405,NA,NA,N,134,5.34,NA
69.1L,Naturalized,Naturalized,1/14/2014,1,SMB,88,91,NA,NA,N,134,5.34,NA
56.0R,Unmitigated,Unmitigated,1/15/2014,1,PRS,73,73,NA,NA,N,172,4.13,NA
56.0R,Unmitigated,Unmitigated,1/15/2014,1,SMB,65,70,NA,NA,N,172,4.13,NA
56.0R,Unmitigated,Unmitigated,1/15/2014,1,SMB,76,79,NA,NA,N,172,4.13,NA
56.0R,Unmitigated,Unmitigated,1/15/2014,1,SMB,87,91,NA,NA,N,172,4.13,NA
56.0R,Unmitigated,Unmitigated,1/15/2014,1,TP,84,90,NA,NA,N,172,4.13,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,LMB,83,87,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,50,55,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,59,64,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,63,66,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,65,70,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,66,70,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,68,73,NA,NA,N,186,3.3,NA
