No,Fish,Length,Depart,DLocation,DLocationGen,Arrive,ALocation,ALocationGen,Dist_km,DeltaTime,DeltaTimeMin,Distperhour,Distperday,Activity,,1,Dist_referenceA,Dist_referenceB,Helper1,Helper2,Dist.KM,
34,3,42,6/19/13 11:15 PM,RioVistaBr03,SR_RioVista,6/20/13 12:38 AM,SteamboatSl_Mouth1,SR_SteamboatSl,3.54,1:23,83,2.56,61.40,Delta,,35,Santa_Clara_Shoals1_N,FranksTractW,Santa_Clara_Shoals1_N FranksTractW,FranksTractW Santa_Clara_Shoals1_N,7.3,
35,3,42,6/20/13 12:39 AM,SteamboatSl_Mouth1,SR_SteamboatSl,6/20/13 3:11 AM,RioVistaBr03,SR_RioVista,3.54,2:31,151,1.40,33.65,Delta,,36,FranksTractW,FranksTractE,FranksTractW FranksTractE,FranksTractE FranksTractW,9.55,
36,3,42,6/20/13 3:38 AM,RioVistaBr03,SR_RioVista,6/20/13 5:41 AM,Decker_IsSE,Decker_IsS,11.53,2:02,123,5.64,135.41,Delta,,37,FranksTractE,Santa_Clara_Shoals2_south,FranksTractE Santa_Clara_Shoals2_south,Santa_Clara_Shoals2_south FranksTractE,10.63,
37,3,42,6/20/13 8:36 PM,Decker_IsSW,Decker_IsS,6/21/13 12:29 AM,RioVistaBr01,SR_RioVista,11.23,3:52,233,2.90,69.53,Delta,,38,Santa_Clara_Shoals2_south,SJ_BlwFalse_SE,Santa_Clara_Shoals2_south SJ_BlwFalse_SE,SJ_BlwFalse_SE Santa_Clara_Shoals2_south,7.22,
38,3,42,6/21/13 12:45 AM,RioVistaBr03,SR_RioVista,6/21/13 2:09 AM,SteamboatSl_Mouth1,SR_SteamboatSl,3.54,1:23,84,2.53,60.78,Delta,,39,BenBr02,Carq_East,BenBr02 Carq_East,Carq_East BenBr02,9.54,
39,3,42,6/21/13 2:19 AM,SteamboatSl_Mouth1,SR_SteamboatSl,6/21/13 3:51 AM,RioVistaBr03,SR_RioVista,3.54,1:32,93,2.29,54.86,Delta,,40,CarBr02,SP_Petaluma_G5,CarBr02 SP_Petaluma_G5,SP_Petaluma_G5 CarBr02,17.89,
40,3,42,6/21/13 4:15 AM,RioVistaBr03,SR_RioVista,6/21/13 6:13 AM,Decker_IsSE,Decker_IsS,11.53,1:57,117,5.89,141.36,Delta,,41,BenBr04,Decker_IsSW,BenBr04 Decker_IsSW,Decker_IsSW BenBr04,33.76,
41,3,42,6/29/13 12:31 PM,Decker_IsSW,Decker_IsS,7/2/13 5:07 AM,BenBr02,BeniciaBridge,34.09,16:36,3876,0.53,12.66,Migrate,,42,Decker_IsSW,RioVistaBr03,Decker_IsSW RioVistaBr03,RioVistaBr03 Decker_IsSW,11.14,
42,3,42,7/4/13 4:27 AM,BenBrCenter,BeniciaBridge,7/4/13 7:23 AM,Carq_East,Carquinez Bridge,9.79,2:56,177,3.32,79.79,Migrate,,43,Decker_IsSW,BenBrCenter,Decker_IsSW BenBrCenter,BenBrCenter Decker_IsSW,34.02,
43,3,42,7/4/13 9:35 AM,CarBr03,Carquinez Bridge,7/5/13 1:40 PM,BenBr05,BeniciaBridge,9.95,4:05,1685,0.35,8.50,Migrate,,44,BenBr04,CarBr02,BenBr04 CarBr02,CarBr02 BenBr04,9.84,
44,3,42,7/8/13 8:56 AM,SP_Petaluma_G5,SP_Petaluma_Channel,7/12/13 6:12 PM,Vallejo_Marina,Vallejo_Marina,21.63,9:16,6316,0.21,4.93,Migrate,Too long a time gap,45,Decker_IsSW,BenBr02,Decker_IsSW BenBr02,BenBr02 Decker_IsSW,34.09,
45,4,41,3/2/13 11:47 PM,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,3/3/13 3:25 AM,FranksTractW,FranksTractW,7.30,3:37,218,2.01,48.22,Delta,,46,CarBr03,BenBr05,CarBr03 BenBr05,BenBr05 CarBr03,9.95,
46,4,41,3/3/13 3:26 AM,FranksTractW,FranksTractW,3/15/13 3:13 PM,FranksTractE,FranksTractE,9.55,11:47,17987,0.03,0.76,Delta,,47,SJ_BlwFalse_SE,AntiochBridge19,SJ_BlwFalse_SE AntiochBridge19,AntiochBridge19 SJ_BlwFalse_SE,5.86,
47,4,41,3/15/13 3:21 PM,FranksTractE,FranksTractE,3/18/13 2:34 AM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,10.63,11:13,3553,0.18,4.31,Delta,,48,AntiochBridge19,BenBr03,AntiochBridge19 BenBr03,BenBr03 AntiochBridge19,36.53,
48,4,41,5/16/13 9:00 AM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,5/18/13 4:31 AM,SJ_BlwFalse_SE,SJ_Blw_False,7.22,19:30,2611,0.17,3.98,Delta,,49,SP_Petaluma_G5,BenBr04,SP_Petaluma_G5 BenBr04,BenBr04 SP_Petaluma_G5,skipped a station,
49,4,41,5/18/13 7:06 PM,SJ_BlwFalse2,SJ_Blw_False,5/18/13 11:00 PM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,7.12,3:54,234,1.82,43.77,Delta,,50,SJ_PrisonersPointN,PotatoSlough,SJ_PrisonersPointN PotatoSlough,PotatoSlough SJ_PrisonersPointN,3.85,
50,4,41,7/6/13 5:57 AM,SJ_BlwFalse_SE,SJ_Blw_False,7/6/13 7:36 AM,AntiochBridge19,Antioch_Br,5.86,1:38,99,3.57,85.61,Delta,,51,SJ_PrisonersPointN,Santa_Clara_Shoals1_N,SJ_PrisonersPointN Santa_Clara_Shoals1_N,Santa_Clara_Shoals1_N SJ_PrisonersPointN,11.82,
51,4,41,7/6/13 6:42 PM,AntiochBridge19,Antioch_Br,7/7/13 12:52 AM,SJ_BlwFalse_SE,SJ_Blw_False,5.86,6:10,370,0.95,22.79,Delta,,52,AntiochBridge19,BenBr01,AntiochBridge19 BenBr01,BenBr01 AntiochBridge19,34.3,
52,4,41,7/7/13 12:52 AM,SJ_BlwFalse_SE,SJ_Blw_False,7/7/13 4:11 AM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,7.22,3:18,199,2.18,52.27,Delta,,53,BenBr02,CarBr01,BenBr02 CarBr01,CarBr01 BenBr02,9.9,
53,4,41,7/7/13 4:11 AM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,7/7/13 7:54 AM,SJ_BlwFalse_SE,SJ_Blw_False,7.22,3:42,223,1.94,46.67,Delta,,54,CarBr01,RichBr_19_2009,CarBr01 RichBr_19_2009,RichBr_19_2009 CarBr01,25.56,
54,4,41,7/7/13 8:01 AM,SJ_BlwFalse_SE,SJ_Blw_False,7/7/13 9:42 AM,AntiochBridge19,Antioch_Br,5.86,1:41,101,3.47,83.33,Delta,,55,RichBr_20_2009,BayBr08.1,RichBr_20_2009 BayBr08.1,BayBr08.1 RichBr_20_2009,16.64,
55,4,41,7/7/13 9:51 AM,AntiochBridge19,Antioch_Br,7/9/13 7:36 AM,BenBr03,BeniciaBridge,36.53,21:45,2746,0.80,19.16,Delta,,56,BayBr07.1,GG1,BayBr07.1 GG1,GG1 BayBr07.1,11.87,
56,4,41,7/20/13 2:07 AM,BenBr02,BeniciaBridge,7/20/13 5:05 AM,Carq_East,Carquinez Bridge,9.54,2:58,179,3.20,76.83,Migrate,,57,Santa_Clara_Shoals2_south,AntiochS,Santa_Clara_Shoals2_south AntiochS,AntiochS Santa_Clara_Shoals2_south,skipped a station,
57,4,41,7/20/13 5:07 AM,CarBr02,Carquinez Bridge,7/26/13 9:30 AM,SP_Petaluma_G5,SP_Petaluma_Channel,17.89,4:23,8904,0.12,2.89,Migrate,,58,AntiochS,Decker_IsSW,AntiochS Decker_IsSW,Decker_IsSW AntiochS,10.97,
58,4,41,7/26/13 9:36 AM,SP_Petaluma_G5,SP_Petaluma_Channel,7/28/13 5:44 AM,BenBr04,BeniciaBridge,skipped a station,,,,0.00,,,59,BenBr03,Carq_West,BenBr03 Carq_West,Carq_West BenBr03,9.56,
59,4,41,7/28/13 6:03 AM,BenBr04,BeniciaBridge,7/29/13 6:13 PM,Decker_IsSW,Decker_IsS,33.76,12:09,2170,0.93,22.40,Migrate,,60,CarBr02,BenBr05,CarBr02 BenBr05,BenBr05 CarBr02,10.06,
60,4,41,7/29/13 6:26 PM,Decker_IsSW,Decker_IsS,7/30/13 8:46 AM,RioVistaBr03,SR_RioVista,11.26,14:19,860,0.79,18.86,Delta,,61,BenBr03,CarBr01,BenBr03 CarBr01,CarBr01 BenBr03,9.75,
61,4,41,7/31/13 1:32 AM,RioVistaBr03,SR_RioVista,7/31/13 12:21 PM,Decker_IsSW,Decker_IsS,11.14,10:48,649,1.03,24.73,Delta,,62,CarBr01,SP_Petaluma_G3,CarBr01 SP_Petaluma_G3,SP_Petaluma_G3 CarBr01,17.84,
62,4,41,7/31/13 10:12 PM,Decker_IsSW,Decker_IsS,8/9/13 5:38 AM,BenBrCenter,BeniciaBridge,34.02,7:25,11965,0.17,4.09,Delta,,63,SP_Petaluma_G3,RichBr_20_2009,SP_Petaluma_G3 RichBr_20_2009,RichBr_20_2009 SP_Petaluma_G3,13.62,
63,4,41,8/9/13 5:52 AM,BenBr04,BeniciaBridge,8/9/13 8:59 AM,CarBr02,Carquinez Bridge,9.84,3:06,187,3.16,75.89,Delta,,64,RichBr_23_2009,BayBr03.5,RichBr_23_2009 BayBr03.5,BayBr03.5 RichBr_23_2009,17.46,
64,7,41,3/3/13 2:17 AM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,3/4/13 9:52 PM,FranksTractE,FranksTractE,10.63,19:35,2616,0.24,5.85,Delta,,65,BayBr16B,GG8,BayBr16B GG8,GG8 BayBr16B,7.79,
65,7,41,4/5/13 4:51 PM,FranksTractE,FranksTractE,5/22/13 1:46 AM,SJ_PrisonersPointN,SJ_PrisonersPt,2.92,8:54,66775,0.00,0.06,Delta,,66,GG9,BayBr18,GG9 BayBr18,BayBr18 GG9,7.85,
66,7,41,6/1/13 11:30 AM,SJ_PrisonersPointN,SJ_PrisonersPt,6/4/13 2:19 PM,PotatoSlough,PotatoSlough,3.85,2:48,4489,0.05,1.24,Delta,,67,BayBr11,GG5.1,BayBr11 GG5.1,GG5.1 BayBr11,8.53,
67,7,41,6/16/13 12:05 PM,PotatoSlough,PotatoSlough,6/16/13 11:24 PM,SJ_PrisonersPointN,SJ_PrisonersPt,3.85,11:18,678,0.34,8.17,Delta,,68,Santa_Clara_Shoals1_N,AntiochS,Santa_Clara_Shoals1_N AntiochS,AntiochS Santa_Clara_Shoals1_N,skipped a station,
68,7,41,6/17/13 11:29 AM,SJ_PrisonersPointN,SJ_PrisonersPt,6/19/13 3:35 AM,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,11.82,16:06,2406,0.29,7.07,Delta,,69,Decker_IsSW,BenBr03,Decker_IsSW BenBr03,BenBr03 Decker_IsSW,33.68,
69,7,41,6/19/13 3:52 AM,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,6/19/13 6:23 AM,SJ_BlwFalse2,SJ_Blw_False,7.67,2:30,151,3.05,73.15,Delta,,70,BenBr04,CarBr01,BenBr04 CarBr01,CarBr01 BenBr04,9.97,
70,7,41,6/19/13 6:26 AM,SJ_BlwFalse2,SJ_Blw_False,6/19/13 12:45 PM,AntiochBridge20,Antioch_Br,5.77,6:18,379,0.91,21.92,Delta,,71,CarBr01,RichBr_3_2009,CarBr01 RichBr_3_2009,RichBr_3_2009 CarBr01,26.03,
71,7,41,6/19/13 3:15 PM,AntiochBridge19,Antioch_Br,6/21/13 6:33 AM,BenBr01,BeniciaBridge,34.30,15:17,2358,0.87,20.95,Delta,,72,Decker_IsSW,Decker_IsN,Decker_IsSW Decker_IsN,Decker_IsN Decker_IsSW,4.26,
72,7,41,6/29/13 8:34 AM,BenBr02,BeniciaBridge,6/29/13 12:20 PM,CarBr01,Carquinez Bridge,9.90,3:46,227,2.62,62.89,Delta,,73,Decker_IsN,RioVistaBr03,Decker_IsN RioVistaBr03,RioVistaBr03 Decker_IsN,6.95,
73,7,41,6/29/13 12:20 PM,CarBr01,Carquinez Bridge,7/1/13 11:50 PM,RichBr_19_2009,RichmondBridge,25.56,11:29,3570,0.43,10.31,Migrate,,74,RioVistaBr02,Decker_IsN,RioVistaBr02 Decker_IsN,Decker_IsN RioVistaBr02,7.01,
74,7,41,7/8/13 6:28 AM,RichBr_20_2009,RichmondBridge,7/11/13 6:35 PM,BayBr08.1,BayBridge,16.64,12:07,5047,0.20,4.75,Migrate,,75,Decker_IsCL3,BenBr06,Decker_IsCL3 BenBr06,BenBr06 Decker_IsCL3,33.57,
